id,method,video_type,video_class,audio_class,overall_class,race,gender,path,fps,frame_count,width,height,duration,has_audio,audio_channels,sample_rate,audio_duration
id00076,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00076\00109.mp4,25.0,251,224,224,10.04,True,1,16000,10.04
id00166,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00166\00010.mp4,25.0,160,224,224,6.4,True,1,16000,6.4
id00173,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00173\00118.mp4,25.0,149,224,224,5.96,True,1,16000,5.96
id00366,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00366\00118.mp4,25.0,224,224,224,8.96,True,1,16000,8.96
id00391,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00391\00052.mp4,25.0,300,224,224,12.0,True,1,16000,12.0
id00475,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00475\00099.mp4,25.0,225,224,224,9.0,True,1,16000,9.0
id00476,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00476\00109.mp4,25.0,240,224,224,9.6,True,1,16000,9.6
id00478,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00478\00206.mp4,25.0,256,224,224,10.24,True,1,16000,10.24
id00518,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00518\00031.mp4,25.0,117,224,224,4.68,True,1,16000,4.68
id00701,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00701\00092.mp4,25.0,219,224,224,8.76,True,1,16000,8.76
id00761,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00761\00072.mp4,25.0,195,224,224,7.8,True,1,16000,7.8
